imp_fraction,perturb_param,level,factor,seed,pop,mean_sttc,pct_ictal,mean_rate,cv_rate
100p,p_conn,0.0,1.0,12346,FS,0.7498029167236758,96.12500000000001,187.417725,0.19673258594205467
100p,p_conn,0.1,1.1,12345,IMP,0.85000941201533,96.12500000000001,174.65590698837354,0.19796874783037158
100p,p_conn,0.1,1.1,12345,FS,0.7594878766151316,96.12500000000001,188.60346249999998,0.19566184122599833
100p,tau_w,-0.2,0.8,12346,IMP,0.8583235689102867,96.625,176.39048943617948,0.17681224482813057
100p,tau_w,-0.2,0.8,12346,FS,0.7585399007590405,96.625,188.82662499999998,0.1747178808296965
100p,tau_w,0.1,1.1,12346,IMP,0.7857219800769567,95.625,167.78337604700585,0.20617352757394222
100p,tau_w,0.1,1.1,12346,FS,0.7526849704689931,95.875,186.8069125,0.20371745190128954
100p,tau_w,-0.1,0.9,12346,IMP,0.8376412928776168,96.12500000000001,173.9650581322665,0.1889307304473279
100p,tau_w,-0.1,0.9,12346,FS,0.7558303771285395,96.37500000000001,188.11199999999997,0.18651137317025282
100p,p_conn,-0.2,0.8,12346,IMP,0.7707268714567351,91.37499999999999,161.99497749718714,0.2762660823287778
100p,p_conn,-0.2,0.8,12346,FS,0.7209194838320064,91.625,178.4838125,0.2720704625430059
100p,tau_w,0.2,1.2,12346,IMP,0.77682453084923,90.375,169.0326540817602,0.3144997288944755
100p,tau_w,0.2,1.2,12346,FS,0.7273480649509143,90.87499999999999,177.7487125,0.30907403326683125
100p,C,0.0,1.0,12347,IMP,0.8216950696369902,96.12500000000001,170.7414458057257,0.19870911745991598
100p,C,0.0,1.0,12347,FS,0.7542431798488934,96.12500000000001,187.43567499999997,0.19657200825509308
100p,tau_w,0.0,1.0,12347,IMP,0.8216950696369902,96.12500000000001,170.7414458057257,0.19870911745991598
100p,tau_w,0.0,1.0,12347,FS,0.7542431798488934,96.12500000000001,187.43567499999997,0.19657200825509308
100p,p_conn,0.0,1.0,12347,IMP,0.8216950696369902,96.12500000000001,170.7414458057257,0.19870911745991598
100p,p_conn,0.0,1.0,12347,FS,0.7542431798488934,96.12500000000001,187.43567499999997,0.19657200825509308
100p,C,-0.2,0.8,12347,IMP,0.8408650057312345,96.12500000000001,174.796943367921,0.19567124400869162
100p,C,-0.2,0.8,12347,FS,0.7597040989770935,96.12500000000001,189.80037499999997,0.19302173858907365
100p,C,-0.1,0.9,12347,IMP,0.8301977120894868,95.875,172.5876328291036,0.19589614848479708
100p,C,-0.1,0.9,12347,FS,0.7583062164400519,96.12500000000001,188.70337500000002,0.19337326656403042
100p,p_conn,-0.1,0.9,12346,IMP,0.810105616897443,91.875,167.79156769596202,0.28432179654820755
100p,p_conn,-0.1,0.9,12346,FS,0.7300485550389055,92.125,179.2510375,0.2800072044900697
100p,C,0.1,1.1,12347,IMP,0.8121584932865753,95.875,168.8351043880485,0.19972555347461377
100p,C,0.1,1.1,12347,FS,0.748270684493684,95.875,186.21551250000002,0.19750032615170815
100p,C,0.2,1.2,12347,IMP,0.7944766478800668,95.875,165.94448056007002,0.19753089641103116
100p,C,0.2,1.2,12347,FS,0.7419963567488886,95.875,185.22620000000003,0.1952468556462737
100p,tau_w,-0.2,0.8,12347,IMP,0.8628379322528997,96.625,176.25677584698084,0.17800290336646857
100p,tau_w,-0.2,0.8,12347,FS,0.7583325659239201,96.875,188.78879999999998,0.17616017910452786
100p,p_conn,0.2,1.2,12346,IMP,0.8687332130517766,95.875,176.5674959369921,0.20033894836337252
100p,p_conn,0.2,1.2,12346,FS,0.7587689698021012,95.875,189.12150000000003,0.19810945577717712
100p,p_conn,0.1,1.1,12346,IMP,0.8398983250968175,95.875,174.4047974746843,0.1979945773757382
100p,p_conn,0.1,1.1,12346,FS,0.7596412708054797,96.12500000000001,188.51705,0.19570040185813786
100p,tau_w,-0.1,0.9,12347,IMP,0.8431946424621627,96.37500000000001,173.7687148393549,0.18771403244478424
100p,tau_w,-0.1,0.9,12347,FS,0.7540764501407904,96.37500000000001,188.20813750000002,0.18516579160274896
100p,tau_w,0.1,1.1,12347,IMP,0.7948546120061056,95.625,167.64384298037254,0.2055985878313672
100p,tau_w,0.1,1.1,12347,FS,0.7493987183641715,95.875,186.88883750000002,0.20306740800834341
100p,tau_w,0.2,1.2,12347,IMP,0.7984432720690975,90.625,169.08580135016877,0.3158665561300406
100p,tau_w,0.2,1.2,12347,FS,0.7312302533266112,90.875,177.72332500000002,0.31052338409430996
